,Target_for_rch_1,Target_for_rch_2,Target_for_rch_3,Target_for_rch_4,Target_for_rch_5,Target_for_rch_6,Target_for_rch_7,Target_for_rch_8,Target_for_rch_9,Target_for_rch_10,Target_for_rch_11,Target_for_rch_12,Target_for_rch_13,Target_for_rch_14,Target_for_rch_15,Target_for_rch_16,Target_for_rch_17,Target_for_rch_18,Target_for_rch_19,Target_for_rch_20,Target_for_rch_21,Target_for_rch_22,Target_for_rch_23,Target_for_rch_24,Target_for_rch_25,Target_for_rch_26,Target_for_rch_27,Target_for_rch_29,Target_for_rch_30,Target_for_rch_31,Target_for_rch_32,Target_for_rch_33,Target_for_rch_34,Target_for_rch_35,Target_for_rch_36,Target_for_rch_37,Target_for_rch_38,NA,NA
57,1196,3915,3102,2456,2333,8482,6553,6698,NA,10083,8842,9235,14742,14425,NA,NA,NA,NA,NA,20151,17566,18787,17927,23336,20221,NA,19191,26041,23955,25605,29954,29364,28072,27385,30857,31099,32256,NA,NA
58,922,3972,3180,2380,2633,7915,7460,6490,NA,9867,8318,9236,14744,14428,NA,NA,NA,NA,NA,20272,17424,18533,17532,23078,20751,NA,19198,25927,24044,25606,30068,29091,29012,26975,30765,30708,32100,NA,NA
59,1014,3661,2870,2379,2262,7531,6887,7264,NA,10188,8317,9237,14645,14339,NA,NA,NA,NA,NA,20038,17421,18656,17824,22943,20750,NA,19096,25928,23959,25132,29953,29092,29002,27769,31138,30710,32505,NA,NA
60,984,3909,3022,2539,2496,8055,7222,7160,NA,9735,9675,9351,14646,14237,NA,NA,NA,NA,NA,20680,17584,18422,17928,23081,20881,NA,18773,25929,23961,25443,29957,29095,28302,27239,30766,30709,32351,NA,NA
61,921,3910,3104,2457,2495,7789,7458,6491,NA,9868,8716,9463,14609,14423,NA,NA,NA,NA,NA,20039,17428,18325,17829,21507,20607,NA,19000,26153,24054,25608,29713,28619,29001,27241,31045,30713,31994,NA,NA
62,1015,3664,3275,2952,2263,7916,7344,7158,NA,10304,9674,9238,14455,14338,NA,NA,NA,NA,NA,19940,17427,18789,17097,23340,20219,NA,19194,26042,23865,25129,29585,28621,29000,27528,30947,30609,32506,NA,NA
63,903,3916,2945,2536,2406,7917,7345,6583,NA,9737,8464,9352,14365,14417,NA,NA,NA,NA,NA,20532,17303,18788,17826,22820,20753,NA,18890,25812,24511,25607,29465,29484,29011,27654,30858,31190,32352,NA,NA
64,919,3886,3276,2462,2482,7790,7336,6929,NA,9876,8465,9239,NA,14239,NA,NA,NA,NA,NA,20152,17416,18790,17687,23341,20609,NA,19098,26251,23956,25286,29838,29366,28530,27386,30669,30712,32303,NA,NA
65,917,3889,3023,2879,2630,7409,7223,7048,NA,9738,8313,9353,NA,14236,NA,NA,NA,NA,NA,20273,17415,18241,17929,22944,20756,NA,19195,25813,23964,24580,28950,28966,28995,27240,30948,31100,32485,NA,NA
66,1126,3913,3268,2382,2558,7410,7343,7155,NA,10190,8315,9240,NA,14228,NA,NA,NA,NA,NA,20274,17431,18423,17822,23080,20469,NA,18772,26154,23958,24470,29839,28841,29010,27655,31227,31003,32460,NA,NA
67,853,3902,2872,2381,2334,7291,7459,6485,NA,9740,8593,9041,NA,14424,NA,NA,NA,NA,NA,20153,17207,18534,17926,21407,20755,NA,18892,25930,23966,25444,28830,28960,28883,27242,30767,30906,31889,NA,NA
68,1013,3733,2946,2538,2428,7293,7117,7049,NA,9982,8843,9241,NA,14337,NA,NA,NA,NA,NA,19941,17438,18793,17538,22092,20610,NA,19196,26043,24514,25610,28722,29101,27859,27107,30859,30610,32101,NA,NA
69,918,3665,3269,2458,2631,7292,6662,6385,NA,9612,8316,9242,NA,14104,NA,NA,NA,NA,NA,20278,17433,18657,17539,23211,20344,NA,18774,26252,23871,24467,29840,29365,28882,27772,30670,30815,32431,NA,NA
70,1012,3912,3270,2811,2267,7186,7007,6386,NA,9739,8962,9248,NA,14426,NA,NA,NA,NA,NA,20275,17440,18791,17828,23079,20613,NA,19097,25686,24411,24982,29466,28965,28186,27529,30768,30508,32307,NA,NA
71,852,3887,3024,2386,2194,7086,6555,6484,NA,9741,9555,9357,NA,14336,NA,NA,NA,NA,NA,20040,17583,18658,17932,23209,20612,NA,18642,26155,23866,25133,29346,28961,27860,27656,30671,30611,31891,NA,NA
72,1069,3907,3200,2742,2632,7093,7340,7050,NA,9749,9676,9244,NA,14103,NA,NA,NA,NA,NA,20276,17432,18660,17098,22821,20614,NA,19192,25814,24140,25287,29714,29236,28640,27388,30672,30715,32158,NA,NA
73,920,3911,3199,2383,2564,7094,6777,6930,NA,9883,8443,9247,NA,14419,NA,NA,NA,NA,NA,19942,17437,18794,17830,23210,20615,NA,18776,25931,24515,24368,29586,28964,28998,27108,30574,30509,32395,NA,NA
74,837,3810,3274,2387,2268,6982,6661,7051,NA,9877,8300,9135,NA,14105,NA,NA,NA,NA,NA,20155,17430,18795,17688,23082,20477,NA,18643,26253,23957,24985,29718,28962,27964,27387,30769,31004,32046,NA,NA
75,838,3837,3271,2540,2559,6979,7341,6382,NA,9869,8844,9250,NA,14331,NA,NA,NA,NA,NA,20154,17309,18535,17823,22945,20617,NA,18644,26350,24055,25134,29467,29100,28994,27243,30573,30907,32206,NA,NA
76,841,3660,3272,2680,2335,6864,6778,6931,NA,10305,8174,9139,NA,14334,NA,NA,NA,NA,NA,20041,17211,18424,17834,23347,20478,NA,19001,26044,23863,25293,29716,29099,28880,27530,30673,30407,31944,NA,NA
77,1068,3890,3198,2611,2560,6865,6556,7053,NA,9613,8963,9138,NA,14241,NA,NA,NA,NA,NA,20156,17435,18659,17099,23351,20480,NA,18775,26447,24412,24701,29729,28963,28301,27657,31416,30816,32261,NA,NA
78,954,3840,3197,2880,2421,6868,7227,6940,NA,9989,8301,9136,NA,14227,NA,NA,NA,NA,NA,19856,17429,18662,17838,23352,20485,NA,18645,26450,23870,25451,29719,28967,28418,27532,30576,30408,32353,NA,NA
79,953,3594,3120,2537,2408,6869,7342,7054,NA,10189,8431,8816,NA,14106,NA,NA,NA,NA,NA,20401,17587,18661,17694,22822,20642,NA,19114,26156,23867,25288,29852,29102,28643,27658,30475,30716,32257,NA,NA
